j1,j2,j3,j4,Eigenvalue1,Eigenvalue2,e3,e4,First Eigenvector Comp 1,First Eigenvector Comp 2,concur_fin
-1.0,0.0,-0.3,0.8,-0.76941,0.11941,1.01782,-0.36782,-0.98902,0.14778,0.16712158471741206
-1.0,0.0,-0.3,0.9,-0.76941,0.11941,1.10442,-0.45442,-0.98902,0.14778,0.19699829316317938
-1.0,0.0,-0.2,-1.0,-0.75826,0.15826,-0.56603,1.16603,-0.99548,0.09492,0.23133332783588761
-1.0,0.0,-0.2,-0.9,-0.75826,0.15826,-0.47942,1.07942,-0.99548,0.09492,0.18479128354742977
-1.0,0.0,-0.2,-0.8,-0.75826,0.15826,-0.39282,0.99282,-0.99548,0.09492,0.1488668351115157
-1.0,0.0,-0.2,-0.7,-0.75826,0.15826,-0.30622,0.90622,-0.99548,0.09492,0.12251086734904132
-1.0,0.0,-0.2,-0.6,-0.75826,0.15826,-0.21962,0.81962,-0.99548,0.09492,0.10385538789574437
-1.0,0.0,-0.2,-0.5,-0.75826,0.15826,-0.13301,0.73301,-0.99548,0.09492,0.09092870056864061
-1.0,0.0,-0.2,-0.4,-0.75826,0.15826,-0.04641,0.64641,-0.99548,0.09492,0.08202264314390725
-1.0,0.0,-0.2,-0.3,-0.75826,0.15826,0.04019,0.55981,-0.99548,0.09492,0.07578164451858438
-1.0,0.0,-0.2,-0.2,-0.75826,0.15826,0.12679,0.47321,-0.99548,0.09492,0.07116962192800966
-1.0,0.0,-0.2,-0.1,-0.75826,0.15826,0.2134,0.3866,-0.99548,0.09492,0.06737574106037408
-1.0,0.0,-0.2,-0.0,-0.75826,0.15826,0.3,0.3,-0.99548,0.09492,0.06371114623842976
-1.0,0.0,-0.2,0.1,-0.75826,0.15826,0.3866,0.2134,-0.99548,0.09492,0.06737574106037411
-1.0,0.0,-0.2,0.2,-0.75826,0.15826,0.47321,0.12679,-0.99548,0.09492,0.07116962192800966
-1.0,0.0,-0.2,0.3,-0.75826,0.15826,0.55981,0.04019,-0.99548,0.09492,0.07578164451858438
-1.0,0.0,-0.2,0.4,-0.75826,0.15826,0.64641,-0.04641,-0.99548,0.09492,0.08202264314390723
-1.0,0.0,-0.2,0.5,-0.75826,0.15826,0.73301,-0.13301,-0.99548,0.09492,0.09092870056864061
-1.0,0.0,-0.2,0.6,-0.75826,0.15826,0.81962,-0.21962,-0.99548,0.09492,0.10385538789574437
-1.0,0.0,-0.2,0.7,-0.75826,0.15826,0.90622,-0.30622,-0.99548,0.09492,0.12251086734904132
-1.0,0.0,-0.2,0.8,-0.75826,0.15826,0.99282,-0.39282,-0.99548,0.09492,0.1488668351115157
-1.0,0.0,-0.2,0.9,-0.75826,0.15826,1.07942,-0.47942,-0.99548,0.09492,0.18479128354742974
-1.0,0.0,-0.1,-1.0,-0.75197,0.20197,-0.59103,1.14103,-0.99897,0.04544,0.2274436994164169
-1.0,0.0,-0.1,-0.9,-0.75197,0.20197,-0.50442,1.05442,-0.99897,0.04544,0.1742260785364087
-1.0,0.0,-0.1,-0.8,-0.75197,0.20197,-0.41782,0.96782,-0.99897,0.04544,0.13219625758203163
-1.0,0.0,-0.1,-0.7,-0.75197,0.20197,-0.33122,0.88122,-0.99897,0.04544,0.10080922783483218
-1.0,0.0,-0.1,-0.6,-0.75197,0.20197,-0.24462,0.79462,-0.99897,0.04544,0.07829091718465964
-1.0,0.0,-0.1,-0.5,-0.75197,0.20197,-0.15801,0.70801,-0.99897,0.04544,0.06251781386814524
-1.0,0.0,-0.1,-0.4,-0.75197,0.20197,-0.07141,0.62141,-0.99897,0.04544,0.051536732098351426
-1.0,0.0,-0.1,-0.3,-0.75197,0.20197,0.01519,0.53481,-0.99897,0.04544,0.043737960359946385
-1.0,0.0,-0.1,-0.2,-0.75197,0.20197,0.10179,0.44821,-0.99897,0.04544,0.037853798783099066
-1.0,0.0,-0.1,-0.1,-0.75197,0.20197,0.1884,0.3616,-0.99897,0.04544,0.033923861926199395
-1.0,0.0,-0.1,-0.0,-0.75197,0.20197,0.275,0.275,-0.99897,0.04544,0.03116297248994783
-1.0,0.0,-0.1,0.1,-0.75197,0.20197,0.3616,0.1884,-0.99897,0.04544,0.033923861926199395
-1.0,0.0,-0.1,0.2,-0.75197,0.20197,0.44821,0.10179,-0.99897,0.04544,0.03785379878309908
-1.0,0.0,-0.1,0.3,-0.75197,0.20197,0.53481,0.01519,-0.99897,0.04544,0.0437379603599464
