j1, j4, j2, j3, Eigenvalue1, Eigenvalue2, e3, e4, First Eigenvector Comp 1, First Eigenvector Comp 2
1.00000, 0.00000, -0.20000, -0.40000, -0.55574, 0.75574, -0.10000, -0.10000, 0.06618, -0.99781
1.00000, 0.00000, -0.20000, -0.30000, -0.50150, 0.75150, -0.12500, -0.12500, 0.03458, -0.99940
1.00000, 0.00000, -0.20000, -0.20000, -0.45000, 0.75000, -0.15000, -0.15000, 0.00000, -1.00000
1.00000, 0.00000, -0.20000, -0.10000, -0.40163, 0.75163, -0.17500, -0.17500, -0.03757, -0.99929
1.00000, 0.00000, -0.20000, -0.00000, -0.35678, 0.75678, -0.20000, -0.20000, -0.07801, -0.99695
1.00000, 0.00000, -0.20000, 0.10000, -0.31583, 0.76583, -0.22500, -0.22500, -0.12098, -0.99265
1.00000, 0.00000, -0.20000, 0.20000, -0.27915, 0.77915, -0.25000, -0.25000, -0.16597, -0.98613
1.00000, 0.00000, -0.20000, 0.30000, -0.24702, 0.79702, -0.27500, -0.27500, -0.21221, -0.97722
1.00000, 0.00000, -0.20000, 0.40000, -0.21962, 0.81962, -0.30000, -0.30000, -0.25882, -0.96593
1.00000, 0.00000, -0.20000, 0.50000, -0.19702, 0.84702, -0.32500, -0.32500, -0.30483, -0.95241
1.00000, 0.00000, -0.20000, 0.60000, -0.17915, 0.87915, -0.35000, -0.35000, -0.34934, -0.93700
1.00000, 0.00000, -0.20000, 0.70000, -0.16583, 0.91583, -0.37500, -0.37500, -0.39155, -0.92016
1.00000, 0.00000, -0.20000, 0.80000, -0.15678, 0.95678, -0.40000, -0.40000, -0.43092, -0.90239
1.00000, 0.00000, -0.20000, 0.90000, -0.15163, 1.00163, -0.42500, -0.42500, -0.46711, -0.88420
1.00000, 0.00000, -0.10000, -1.00000, -0.89247, 0.84247, 0.02500, 0.02500, -0.23086, 0.97299
1.00000, 0.00000, -0.10000, -0.90000, -0.82614, 0.82614, 0.00000, 0.00000, -0.21466, 0.97669
1.00000, 0.00000, -0.10000, -0.80000, -0.76081, 0.81081, -0.02500, -0.02500, 0.19671, -0.98046
1.00000, 0.00000, -0.10000, -0.70000, -0.69666, 0.79666, -0.05000, -0.05000, 0.17676, -0.98425
1.00000, 0.00000, -0.10000, -0.60000, -0.63387, 0.78387, -0.07500, -0.07500, 0.15457, -0.98798
1.00000, 0.00000, -0.10000, -0.50000, -0.57268, 0.77268, -0.10000, -0.10000, 0.12984, -0.99153
1.00000, 0.00000, -0.10000, -0.40000, -0.51336, 0.76336, -0.12500, -0.12500, 0.10228, -0.99476
1.00000, 0.00000, -0.10000, -0.30000, -0.45622, 0.75622, -0.15000, -0.15000, 0.07161, -0.99743
1.00000, 0.00000, -0.10000, -0.20000, -0.40163, 0.75163, -0.17500, -0.17500, 0.03757, -0.99929
1.00000, 0.00000, -0.10000, -0.10000, -0.35000, 0.75000, -0.20000, -0.20000, 0.00000, -1.00000
1.00000, 0.00000, -0.10000, -0.00000, -0.30178, 0.75178, -0.22500, -0.22500, -0.04113, -0.99915
1.00000, 0.00000, -0.10000, 0.10000, -0.25744, 0.75744, -0.25000, -0.25000, -0.08565, -0.99633
1.00000, 0.00000, -0.10000, 0.20000, -0.21744, 0.76744, -0.27500, -0.27500, -0.13308, -0.99111
1.00000, 0.00000, -0.10000, 0.30000, -0.18218, 0.78218, -0.30000, -0.30000, -0.18268, -0.98317
1.00000, 0.00000, -0.10000, 0.40000, -0.15197, 0.80197, -0.32500, -0.32500, -0.23341, -0.97238
1.00000, 0.00000, -0.10000, 0.50000, -0.12697, 0.82697, -0.35000, -0.35000, -0.28405, -0.95881
1.00000, 0.00000, -0.10000, 0.60000, -0.10718, 0.85718, -0.37500, -0.37500, -0.33338, -0.94279
1.00000, 0.00000, -0.10000, 0.70000, -0.09244, 0.89244, -0.40000, -0.40000, -0.38030, -0.92486
1.00000, 0.00000, -0.10000, 0.80000, -0.08244, 0.93244, -0.42500, -0.42500, -0.42399, -0.90567
1.00000, 0.00000, -0.10000, 0.90000, -0.07678, 0.97678, -0.45000, -0.45000, -0.46395, -0.88586
1.00000, 0.00000, -0.00000, -1.00000, -0.86603, 0.86603, 0.00000, 0.00000, -0.25882, 0.96593
1.00000, 0.00000, -0.00000, -0.90000, -0.79810, 0.84810, -0.02500, -0.02500, 0.24412, -0.96975
1.00000, 0.00000, -0.00000, -0.80000, -0.73102, 0.83102, -0.05000, -0.05000, 0.22775, -0.97372
1.00000, 0.00000, -0.00000, -0.70000, -0.66493, 0.81493, -0.07500, -0.07500, 0.20947, -0.97782
1.00000, 0.00000, -0.00000, -0.60000, -0.60000, 0.80000, -0.10000, -0.10000, 0.18898, -0.98198
1.00000, 0.00000, -0.00000, -0.50000, -0.53644, 0.78644, -0.12500, -0.12500, 0.16597, -0.98613
1.00000, 0.00000, -0.00000, -0.40000, -0.47450, 0.77450, -0.15000, -0.15000, 0.14006, -0.99014
1.00000, 0.00000, -0.00000, -0.30000, -0.41449, 0.76449, -0.17500, -0.17500, 0.11087, -0.99384
1.00000, 0.00000, -0.00000, -0.20000, -0.35678, 0.75678, -0.20000, -0.20000, 0.07801, -0.99695
1.00000, 0.00000, -0.00000, -0.10000, -0.30178, 0.75178, -0.22500, -0.22500, 0.04113, -0.99915
1.00000, 0.00000, -0.00000, -0.00000, -0.25000, 0.75000, -0.25000, -0.25000, 0.00000, -1.00000
1.00000, 0.00000, -0.00000, 0.10000, -0.20197, 0.75197, -0.27500, -0.27500, -0.04544, -0.99897
1.00000, 0.00000, -0.00000, 0.20000, -0.15826, 0.75826, -0.30000, -0.30000, -0.09492, -0.99548
1.00000, 0.00000, -0.00000, 0.30000, -0.11941, 0.76941, -0.32500, -0.32500, -0.14778, -0.98902
1.00000, 0.00000, -0.00000, 0.40000, -0.08589, 0.78589, -0.35000, -0.35000, -0.20290, -0.97920
1.00000, 0.00000, -0.00000, 0.50000, -0.05801, 0.80801, -0.37500, -0.37500, -0.25882, -0.96593
1.00000, 0.00000, -0.00000, 0.60000, -0.03589, 0.83589, -0.40000, -0.40000, -0.31388, -0.94946
1.00000, 0.00000, -0.00000, 0.70000, -0.01941, 0.86941, -0.42500, -0.42500, -0.36653, -0.93041
1.00000, 0.00000, -0.00000, 0.80000, -0.00826, 0.90826, -0.45000, -0.45000, -0.41554, -0.90958
1.00000, 0.00000, -0.00000, 0.90000, -0.00197, 0.95197, -0.47500, -0.47500, -0.46013, -0.88785
1.00000, 0.00000, 0.10000, -1.00000, -0.84247, 0.89247, -0.02500, -0.02500, 0.28656, -0.95806
1.00000, 0.00000, 0.10000, -0.90000, -0.77310, 0.87310, -0.05000, -0.05000, 0.27346, -0.96188
1.00000, 0.00000, 0.10000, -0.80000, -0.70442, 0.85442, -0.07500, -0.07500, 0.25882, -0.96593
1.00000, 0.00000, 0.10000, -0.70000, -0.63655, 0.83655, -0.10000, -0.10000, 0.24239, -0.97018
1.00000, 0.00000, 0.10000, -0.60000, -0.56962, 0.81962, -0.12500, -0.12500, 0.22386, -0.97462
1.00000, 0.00000, 0.10000, -0.50000, -0.50383, 0.80383, -0.15000, -0.15000, 0.20290, -0.97920
1.00000, 0.00000, 0.10000, -0.40000, -0.43941, 0.78941, -0.17500, -0.17500, 0.17909, -0.98383
1.00000, 0.00000, 0.10000, -0.30000, -0.37663, 0.77663, -0.20000, -0.20000, 0.15195, -0.98839
1.00000, 0.00000, 0.10000, -0.20000, -0.31583, 0.76583, -0.22500, -0.22500, 0.12098, -0.99265
1.00000, 0.00000, 0.10000, -0.10000, -0.25744, 0.75744, -0.25000, -0.25000, 0.08565, -0.99633
1.00000, 0.00000, 0.10000, -0.00000, -0.20197, 0.75197, -0.27500, -0.27500, 0.04544, -0.99897
1.00000, 0.00000, 0.10000, 0.10000, -0.15000, 0.75000, -0.30000, -0.30000, 0.00000, -1.00000
